,Name,URL,Description,Ingredients,Instructions,Keywords,Question
10,Lost Lake,https://www.theeducatedbarfly.com/lost-lake/,This one Is a fantastic Jungle Bird variation brought to us by Paul McGee of Lost Lake tiki in Chicago.,"- 2 oz Jamaica Rum
- .25 oz Campari
- .25 oz Maraschino Liqueur
- .75 oz Lime Juice
- .75 oz Passion Fruit Syrup
- .5 oz Pineapple Juice
","1. Add ingredients to tin
2. Add a little pebble ice
3. Shake until dissolved
4. Pour into large glass
5. Top with Pebble ice
6. Garnish with tropical tiki garnish
7. Maybe an umbrella to top if off 
","Campari, chicago, jamaica rum, jungle bird, lost lake, maraschino liqueur, passionfruit, pineapple, rum, tiki, tiki cocktail","Can you recommend a cocktail that highlights the flavors of Jamaica rum and Campari, with a touch of tropical tiki inspiration, similar to the Lost Lake cocktail from Paul McGee's renowned tiki bar in Chicago?"
11,Old Pal,https://www.theeducatedbarfly.com/old-pal/,"The Old Pal is Harry McElhone’s Negroni Variation first published in his ABC’s Of Mixing Cocktails in 1922. Famously, McElhone was the proprietor of Harry’s American Bar in Paris and created a secret society of Barflies that may persist to this day. I still want to be the guy that opens the North American Chapter of Barflies. McElhone credits the inspiration for this drink to Paris Journalist William Robertson. His Old Pal.","- 1 oz Campari
- 1 oz Rye Whiskey
- 1 oz Dry Vermouth
- Orange Peel
","1. Add all ingredients to a stirring glass
2. Stir until chilled (Approx. 45 seconds)
3. Strain into a chilled Nick & Nora
4. Garnish with an Orange Peel.
5. Enjoy!
","Campari, dry vermouth, harry mcelhone, Old Pal, Orange Peel, rye, rye whiskey, Whiskey","Could you please make me a cocktail inspired by the Old Pal, a classic Negroni variation created by Harry McElhone in 1922, featuring rye whiskey, Campari, and dry vermouth, garnished with an orange peel?"
12,Dole Whip,https://www.theeducatedbarfly.com/dole-whip/,"The Dole Whip is probably one of the most famous desserts at Disney Parks. The Dole Whip was created by Dole in 1984 it was introduced at the National Restaurant Association show in May of that year. And they had previously taken over for United Airlines as the corporate sponsor for the Enchanted Tiki Room inside Disney’s Adventureland. At the time Disney was offering pineapple juice with pineapple spears as a refreshment and Dole, seeing an opportunity decided to institute the Dome Whip as a replacement for that refreshment. Fast forward to 2018 and Disney opened the Tropical hideaway where they put in Frozen drink machines where they began selling many different varieties of Dole Whips. Today we’re using a more cocktail-focused adapted recipe and of course, it’s gonna have some booze!","- 3 oz Jamaican Rum
- 3 oz Coconut Milk or any milk of your choice, or coconut ice cream
- 3 oz Pineapple Juice
- 1 tsp Lime Juice
- 1 tsp Lemon Juice
- 2 cups Pineapple Frozen
- 3 tbsp Sugar
- 1/4 tsp Xanthan Gum
","1. In a blender, blend the ingredients except the Pineapple Chunks and the Xanthan Gum.
2. Add the Pineapple Chunks and blend again.
3. Add the Xanthan Gum.
4. Transfer to a chilled coupe.
5. Enjoy!
","Coconut Milk, Dole, Dole Whip, jamaican rum, lemon juice, lime juice, pineapple, pineapple juice, sugar, Xanthan Gum","Can you make a cocktail that features the tropical flavors of coconut milk, pineapple, and Jamaican rum?"
13,Hotel National Special,https://www.theeducatedbarfly.com/hotel-national-special/,"The Hotel National Special was the flagship cocktail of the famous Hotel Nacional de Cuba and was created sometime in the 1930s. This hotel was ground zero for American Celebrities vacationing in Cuba and since it was opened just after prohibition offered the booze-drinking rich a respite from prohibitions and restrictive laws. The hotel also attracted some of the best American bartenders looking to ply their trade legally. Although this cocktail has been credited to three celebrity bartenders Eddie Wolke, Will Taylor, and Fred Kaufman, it was actually first referenced in print in Charles H. Baker’s Gentleman’s Companion.","- 1 1/2 oz Light Rum
- 1/2 oz Apricot Liqueur
- 1 oz Pineapple Juice
- 1/2 oz Lime Juice
- 1/4 oz Simple Syrup 1:1
- Lime Wheel
","1. In a cocktail tin, mix all the ingredients.
2. Add ice.
3. Shake for 8-10 seconds.
4. Garnish.
5. Enjoy!
","1930s, American, apricot liqueur, charles h. baker, Cuba, gentlemans companion, Hotel Nacional de Cuba, Hotel National Special, Light Rum, lime juice, lime wheel, pineapple juice, simple syrup","Excuse me, bartender. I would like to try the Hotel National Special cocktail. Can you please make it for me?"
14,Tipperary,https://www.theeducatedbarfly.com/tipperary/,"The Tipperary was First published in Harry Johnson’s New and Improved Bartender’s Manual in 1882. This drink was suggested by someone on Instagram and I thought. You know that’s a really good idea. Also, stop being so juvenile I know what you’re thinking!","- 1 1/2 oz Irish whiskey
- 3/4 oz Sweet Vermouth
- 3/4 oz Green Chartreuse
- 2 dashes Orange Bitters
- Orange Twist
","1. Add all ingredients to a stirring glass.
2. Stir with ice until chilled approx. 45 seconds.
3. Strain into a chilled coupe or cocktail glass.
4. Garnish with an Orange Twist.
5. Enjoy!
","1880s, Green Chartreuse, Harry Johnson, irish whiskey, orange bitters, orange twist, sweet vermouth, Tipperary","Excuse me, bartender. I'm looking for a cocktail called the Tipperary. Could you please tell me more about it and how it's made?"
15,Wibble,https://www.theeducatedbarfly.com/wibble/,"The wibble was created by British Bartender Dick Bradsell and along with Russian Spring Punch and The Bramble which completes his trio of Modern Classic cocktails. It’s an odd one, but so so good!","- 1 oz Gin
- 1 oz Sloe Gin
- 1 oz Grapefruit Juice
- 3/4 tsp Lemon Juice
- 3/4 tsp Simple Syrup 2:1 
- 3/4 tsp Crème de Mûre
- Lemon Twist
","1. Add all ingredients to a shaker.
2. Shake with ice until chilled.
3. Garnish.
4. Enjoy!
","creme de mure, Dick Bradsell, Gin, grapefruit juice, lemon juice, lemon twist, simple syrup, Sloe Gin, Wibble","Excuse me, bartender. I would like to try a cocktail called the Wibble. Could you please make it for me?"
16,Dr. Funk,https://www.theeducatedbarfly.com/dr-funk/,"Dr. Funk was created in the 1950s by Don The Beachcomber for his namesake restaurant in Palm Springs. It was named after Dr. Bernard Funk who was the physician of Robert Louis Stevenson in Samoa. I’m not sure where this Paired Down recipe comes from I got it from The Cocktail Virgin Blog written by Boston Bartender Fredric Yarm. It should be noted also, that many recipes for this drink call for Black pot still or Blackstrap rum but this one calls for Agricole which I think is a great twist.","- 1 1/2 oz Rhum Agricole Blanc
- 1/2 oz Lemon Juice
- 1/2 oz Grenadine
- 1/4 oz Absinthe
- Lime Juice Juice of 1/2 a lime
- Soda Water
","1. Squeeze the lime into the tin then throw the husk in. 
2. Add in the rest of the ingredients.
3. Shake 8-10 seconds
4. Strain into a highball glass.
5. Enjoy!
","Absinthe, Don The Beachcomber, Dr. Funk, grenadine, lemon juice, Rhum Agricole Blanc, soda water","Excuse me, bartender. Could I please have a Dr. Funk cocktail?"
17,Eastern Sour,https://www.theeducatedbarfly.com/eastern-sour/,"Created by Trader Vic in the 1950s, this is one of the very few tiki cocktails out there featuring anything other than Rum.","- 2 oz Bourbon
- 3/4 oz Lemon Juice
- 2 1/2 oz Orange Juice
- 1/4 oz Orgeat
- 1/4 oz Simple Syrup
- Orange Wheel
- Lime Wheel
","1. Add ingredients into a mixing tin.
2. Add ice.
3. Shake for 8-10 seconds.
4. Garnish.
5. Enjoy!
","Bourbon, Eastern Sour, lemon juice, lime wheel, orange juice, Orange Wheel, orgeat, simple syrup, Trader Vic","What cocktail can you make that features bourbon, lemon juice, lime wheel, orange juice, orgeat, and simple syrup, and is shaken for 8-10 seconds before being garnished with an orange wheel?"
18,Army & Navy,https://www.theeducatedbarfly.com/army-navy/,Little is known about the Army & Navy cocktail other than that it was first published in David A. Embry’s The Fine Art Of Mixing Drinks in 1948. Some say it originated at the Army & Navy Club in Washington D.C. but nobody really knows.,"- 2 oz Gin
- 3/4 oz Lemon Juice
- 3/4 oz Orgeat
- 2 dashes Angostura Bitters
- Lemon Twist
","1. Add all ingredients into a shaking tin.
2. Shake with ice for 8-10 seconds.
3.  Strain into a cocktail glass or coupe.
4. Garnish.
5. Enjoy!
","1940s, angostura bitters, Army & Navy, David A. Embry, Gin, lemon juice, orgeat","What gin-based cocktail options do you have that incorporate both the refreshing tartness of lemon juice and the nutty sweetness of orgeat, possibly with a hint of bitterness from Angostura bitters?"
19,Self Starter,https://www.theeducatedbarfly.com/self-starter/,The Self Starter was first published in Harry Craddock’s Savoy Cocktail Book in 1930.,"- 1 1/2 oz London Dry Gin
- 1 oz Lillet Blanc
- 1/2 oz Apricot Liqueur
- 2 dashes absinthe
- Lemon Twist
","1. Add all ingredients to a mixing glass.
2. Stir until sufficiently chilled approximately 45 seconds.
3. Strain into a Nick & Nora Glass.
4. Garnish.
5. Enjoy!
","1930s, Absinthe, apricot liqueur, Harry Craddock, lemon twist, lillet blanc, london dry gin, Savoy Cocktail Book, Self Starter","Could you recommend a cocktail that incorporates the flavors of London Dry Gin, Lillet Blanc, Apricot Liqueur, and a hint of absinthe, similar to the Self Starter cocktail?"
20,Gin and Pomme,https://www.theeducatedbarfly.com/gin-and-pomme/,Recommended Bar Tools:,"- 2 oz Gin
- 3/4 oz Simple Syrup
- 3/4 oz Pomelo Juice
- Soda Water
- Pomelo Twist
","1. Shake all ingredients in a tin.
2. Sstrain into a highball glass over ice.
3. Top with soda water and zest pomelo.
4. Add garnish.
5. Enjoy!
","classic cocktail, Filipino Cocktails, Gin, Gin and Pomme, Pomelo Juice, Pomelo Twist, simple syrup, soda water","Could you please recommend a classic gin cocktail with Filipino influences that incorporates pomelo juice and simple syrup, and is topped with soda water and a pomelo twist?"
21,Pancho Villa,https://www.theeducatedbarfly.com/pancho-villa/,The Pancho Villa is the Filipino answer to the Singapore Sling. It was first published in Charles H. Baker’s A Gentleman’s Companion in 1939 and named for the Filipino flyweight boxing champ Francisco Villaruel Guilledo who went by the nickname Pancho Villa. This recipe is a reconstructed version from Filipino bartender Marlo Gamora for NYC restaurant Jeepney.,"- 1 1/2 oz Rum Santa Teresa 1796
- 1/2 oz Gin
- 1/2 oz Apricot Liqueur
- 1/2 oz Cherry Liqueur Cherry Heering
- 3/4 oz Pineapple Juice
- 1/4 oz Lime Juice
- Soda Water
- Pineapple Fronds
- Lime Wheel
","1. Add ingredients to a shaking tin.
2. Shake 8-10 Seconds.
3. Strain in a highball glass.
4. Top soda
5. Fill until top with ice.
6. Add garnish.
7. Enjoy!
","1930s, apricot liqueur, charles baker, charles h. baker, cherry heering, Cherry Liqueur, classic cocktail, Filipino Cocktails, gentlemans companion, Gin, Jeepney, lime juice, lime wheel, Marlo Gamora, Pancho Villa, Pineapple Fronds, pineapple juice, rum, Santa Teresa 1796, soda water","Excuse me, bartender. I heard about a cocktail called the Pancho Villa. Could you please tell me more about it and how it's made?"
22,Grasshopper,https://www.theeducatedbarfly.com/grasshopper-dale-degroff/,"The Grasshopper was first created by bartender Philibert Guichet for a cocktail competition in New York City in 1918. Guichet’s family owned a New Orleans bar called Tujague’s. Guichdt came in second in the competition, brought the drink home and it became a stash hit. Today we’re making the drink as interpreted by Legendary New York City barman Dale DeGroff.","- 1 oz Crème de menthe Marie brizard
- 1 oz Crème de Cacao Tempus Fugit
- 1 1/2 oz Heavy Cream
-  Shaved Chocolate
","1. Add all Ingredients to a shaking set.
2. Shake 8-10 seconds.
3. Strain into a Nick & Nora glass. 
4. Garnish Shaved Chocolate.
5. Enjoy!
","1910s, chocolate, creme de cacao, creme de menthe, dale degroff, Grasshopper, heavy cream, new orleans, new york, new york city, ny, nyc, Philibert Guichet, Shaved Chocolate",What shaking technique should I use to recreate the Grasshopper cocktail and its creamy texture?
23,Improved Brandy Cocktail,https://www.theeducatedbarfly.com/improved-brandy-cocktail/,The Improved Brandy cocktail was quite possibly the genesis of the Sazerac. It was a Cognac or Brandy variation of the whiskey cocktail and was popular in the 1870’s.,"- 2 oz Brandy (rye whiskey or genever are excellent substitutes) 
- 1 tsp Simple Syrup
- 1/2 tsp Maraschino Liqueur
- 1 dash Absinthe
- 2 dashes Boker’s bitters  (or substitute Angostura)
- Lemon Twist
","1. Add all ingredients to a mixing glass.
2. Stir until chilled.
3. Then wash the inside of a neat glass, coupe or cocktail glass with absinthe either with an atomizer or swirling in the glass.
4. Strain cocktail into glass.
5. Zest a lemon twist over the cocktail.
6. Garnish with the lemon twist.
7. Enjoy!
","Absinthe, angostura bitters, Boker’s bitters, Brandy, Genever, Improved Brandy Cocktail, lemon twist, maraschino liqueur, rye whiskey, sazerac, simple syrup, Whiskey","What cocktails do you have that feature the flavors of brandy, maraschino liqueur, absinthe, and bitters?"
24,Cognac Sazerac,https://www.theeducatedbarfly.com/cognac-sazerac/,,"- 2 oz Cognac
- 1 Sugar Cube
- 4 dashes Peychaud’s bitters
- Absinthe Rinse
- dash Soda Water
- Lemon Twist
","1. Add Bitters, sugar and dash of soda into a mixing glass. 
2. Muddle Sugar to create a fine paste. 
3. Add in Cognac and Ice.
4. Stir until sufficiently chilled. 
5. Wash the inside of a Footed Rocks Glass with absinthe.
6. Strain cocktail into it. 
7. Garnish with Lemon Twist.
8. Enjoy!
","Absinthe, Absinthe Rinse, Cognac, Cognac Sazerac, lemon twist, Peychaud’s Bitters, sazerac, soda water, sugar cube","Excuse me, bartender. Could you please make me a Cognac Sazerac?"
25,New York Sazerac,https://www.theeducatedbarfly.com/new-york-sazerac/,"Apparently, the Split Base New York Sazerac is the base Sazerac in Australia. News to me but a fun fact!","- 1 oz Rye Whiskey
- 1 oz Cognac
- 1 cube Sugar
- 4 dashes Peychaud’s Bitters
- dash Soda Water
- Lemon Twist
","1. Add Bitters, sugar and dash of soda into a mixing glass. 
2. Muddle Sugar to create a fine paste. 
3. Add in Cognac and Whiskey and Ice.
4. Stir until sufficiently chilled. 
5. Wash the inside of a Footed Rocks Glass with absinthe.
6. Strain cocktail into it. 
7. Garnish with Lemon Twist.
8. Enjoy!
","australia, Cognac, lemon twist, new york, new york city, New York Sazerac, ny, nyc, Peychaud’s Bitters, rye whiskey, sazerac, soda water, sugar, Whiskey","What cocktail do you have that combines the flavors of rye whiskey, cognac, and a hint of citrus from a lemon twist?"
26,Hanky Panky,https://www.theeducatedbarfly.com/hanky-panky/,Recommended Bar Tools:,"- 1 1/2 oz Gin
- 1 1/2 oz Sweet Vermouth
- 1/4 oz Fernet Branca
- Orange Twist 
","1. Add all ingredients to a mixing glass.
2. Stir 40 seconds or so.
3.  Strain into an chilled coupe or cocktail glass. 
4. Garnish with an Orange Twist.
5. Enjoy!
","fernet branca, Gin, Hanky Panky, orange twist, sweet vermouth","What cocktails do you have that incorporate the unique flavors of Fernet Branca, gin, and sweet vermouth, with a hint of orange twist?"
27,Toronto,https://www.theeducatedbarfly.com/toronto/,First Published as the Toronto by David A. Embry in his book The Fine Art Of Mixing Drinks published in 1948. But was first mentioned as the Fernet Cocktail in Robert Vermier’s 1922 edition of Cocktails: How To Mix Them.,"- 2 oz Rye
- 3/4 oz Fernet Branca
- 1/4 oz Simple Syrup
- Orange Twist
","1. Add all the ingredients in a glass.
2. Add a big chunk of ice.
3. Stir until side of glass is frosted.
4. Garnish.
5. Enjoy!
","1920s, 1940s, Beta Cocktails, David Embry, fernet branca, Fernet Cocktail, How To Mix Them, orange twist, Robert Vermier’, rye, rye whiskey, simple syrup, Toronto, Whiskey","What kind of cocktail can you make that features the bold flavors of rye whiskey and Fernet Branca, with a hint of sweetness from simple syrup and an orange twist garnish?"
28,Paloma,https://www.theeducatedbarfly.com/paloma/,Recommended Bar Tools:,"- 1 1/2 oz Tequila Blanco
- 1 oz Grapefruit Juice
- 3/4 oz Lime Juice
- 3/4 oz Simple Syrup
- 2 dashes Grapefruit Bitters
- Soda Water
- Grapefruit Wheel  dehydrated
","1. Add all ingredients except soda water to a shaking tin.
2. Shake 8-10 seconds. 
3. Double Strain into a highball glass.
4. Top with soda water. 
5. Garnish with a Dehydrated Grapefruit Wheel.
6. Enjoy!
","grapefruit bitters, grapefruit juice, Grapefruit Wheel, lime juice, mexican cocktail, mexico, paloma, simple syrup, soda water, tequila blanco","Could you recommend a cocktail that combines the refreshing flavors of grapefruit juice, lime juice, and soda water, with a hint of bitterness from grapefruit bitters, similar to a Paloma?"
29,Carajillo,https://www.theeducatedbarfly.com/carajillo/,Recommended Bar Tools:,"- 1 1/2 oz Licor 43
- 1/2 oz Charanda  or Brandy
- Double Shot Espresso
","1. Add to a tin
2. Shake 8-10 seconds. 
3. Serve over a large rock of ice.
4. Enjoy!
","Carrajillo, Charanda, Double Shot Espresso, espresso, licor 43, mexican cocktail, mexico","Could you make me a cocktail that combines the bold flavors of Licor 43, Charanda or Brandy, and a double shot of espresso, similar to the Carajillo?"
30,Cantarito,https://www.theeducatedbarfly.com/cantarito/,Recommended Bar Tools:,"- 2 oz Tequila
- 1 1/2 oz Orange Juice
- 3/4 oz Grapefruit Juice
- 1/2 oz Lime Juice
- Pinch Salt
- 2 oz Grapefruit Soda approximately
- 1/2 Lime Wheel
- 1/2 Orange Wheel
","1. Add ingredients to a glass with ice,
2. Stir briefly to incorporate.
3. Top with Grapefruit Soda.
4. Enjoy!
","Cantarito, grapefruit, grapefruit juice, Grapefruit Soda, lime juice, lime wheel, mexican cocktail, mexico, orange juice, Orange Wheel, salt, Tequila","Excuse me, bartender. Can I have a Cantarito, please?"
31,Vampiro,https://www.theeducatedbarfly.com/vampiro/,Recommended Bar Tools:,"- 2 oz Reposado Tequila
- 1 oz Tomato Juice
- 1 oz Orange Juice
- 1/2 oz Lime juice
- 1/2 oz Grenadine
- 7 drops  Hot Sauce
- 1 pinch  Salt
- 1 grind  Black Pepper
- Lime Twist
","1. Add all ingredients to a tin.
2. Shake with ice. 
3. Strain into a rocks glass with ice.
4. Garnish with a lime Twist.
5. Enjoy!
","Black Pepper, grenadine, hot sauce, lime juice, Lime Twist, mexican cocktail, mexico, orange juice, Reposado Tequila, salt, Tomato Juice, Vampiro","What cocktail do you recommend that incorporates the flavors of tangy tomato juice, zesty lime, and a hint of black pepper?"
32,Aged Egg Nog,https://www.theeducatedbarfly.com/aged-egg-nog/,Recipe is by Nick Bennett of Porchlight Bar in NYC,"- 1 1⁄2 cup  Bourbon
- 1⁄2 cup  Cognac
- 1⁄3 cup  Dark Rum
- 12 whole Eggs large
- 18 oz Sugar
- pinch Salt
- Nutmeg Freshly grated 
- 2 3/4 oz Egg Nog Mixture
- 1 1/4 oz Whole Milk
- 1/4 oz Heavy Cream
- Nutmeg Grated 
","1. With an Electric mixer on a low speed, whisk eggs and sugar together until smooth. 
2. Then very slowly so as not to curdle the eggs add in Bourbon, Cognac and Rum. 
3. Then add in a pinch of salt and nutmeg, stir to combine and put mixture into a large, Sanitized Jar. 
4. To age the egg nog place in the refrigerator anywhere between 3 weeks and 2 years. 
5. If it occurs to you, shake the jar periodically. Maybe, once a month or so.
6. Add all ingredients to a shaker and shake with ice 8110 seconds. 
7. Double strain into a glass of your choice.
8. Garnish with Grated Nutmeg.
9. Enjoy!
","Bourbon, Cognac, Dark Rum, Egg Nog Mixture, eggs, heavy cream, new york, new york city, Nick Bennett, nutmeg, nyc, Porchlight, salt, sugar, whole milk","Excuse me, bartender. I would like to try a cocktail called ""Aged Egg Nog."" Can you please tell me more about it and how it is made?"
